,domain,layer,dim,problem,repeat,plan_length,plan_found,time
131,blocksworld,1,1,1_14,2,276.0,True,20.964309215545654
132,blocksworld,1,1,1_15,0,290.0,True,21.280571222305298
133,blocksworld,1,1,1_15,1,290.0,True,21.37143850326538
134,blocksworld,1,1,1_15,2,286.0,True,22.772963762283325
135,blocksworld,1,1,1_16,0,296.0,True,24.721774578094482
136,blocksworld,1,1,1_16,1,298.0,True,25.059736251831055
137,blocksworld,1,1,1_16,2,304.0,True,25.65707039833069
138,blocksworld,1,1,1_17,0,302.0,True,24.83393096923828
139,blocksworld,1,1,1_17,1,310.0,True,26.21717643737793
140,blocksworld,1,1,1_17,2,304.0,True,25.12026810646057
141,blocksworld,1,1,1_18,0,340.0,True,31.447250366210938
142,blocksworld,1,1,1_18,1,340.0,True,28.992001056671143
143,blocksworld,1,1,1_18,2,340.0,True,33.466607332229614
144,blocksworld,1,1,1_19,0,342.0,True,36.31778526306152
145,blocksworld,1,1,1_19,1,340.0,True,33.69909977912903
146,blocksworld,1,1,1_19,2,348.0,True,34.99469780921936
147,blocksworld,1,1,1_20,0,356.0,True,35.83718419075012
148,blocksworld,1,1,1_20,1,358.0,True,34.97403955459595
149,blocksworld,1,1,1_20,2,352.0,True,35.58650088310242
150,blocksworld,1,1,1_21,0,366.0,True,38.29372191429138
151,blocksworld,1,1,1_21,1,368.0,True,39.46254014968872
152,blocksworld,1,1,1_21,2,368.0,True,38.215131998062134
153,blocksworld,1,1,1_22,0,380.0,True,41.49614095687866
154,blocksworld,1,1,1_22,1,380.0,True,41.66484999656677
155,blocksworld,1,1,1_22,2,382.0,True,39.56163215637207
156,blocksworld,1,1,1_23,0,418.0,True,52.896334648132324
157,blocksworld,1,1,1_23,1,414.0,True,51.51056098937988
158,blocksworld,1,1,1_23,2,420.0,True,54.12190532684326
159,blocksworld,1,1,1_24,0,394.0,True,46.02258777618408
160,blocksworld,1,1,1_24,1,392.0,True,48.054330587387085
161,blocksworld,1,1,1_24,2,394.0,True,46.11970067024231
162,blocksworld,1,1,1_25,0,418.0,True,49.838330030441284
163,blocksworld,1,1,1_25,1,414.0,True,52.53260540962219
164,blocksworld,1,1,1_25,2,412.0,True,52.37105655670166
165,blocksworld,1,1,1_26,0,438.0,True,61.92334818840027
166,blocksworld,1,1,1_26,1,442.0,True,60.47261667251587
167,blocksworld,1,1,1_26,2,440.0,True,62.408812284469604
168,blocksworld,1,1,1_27,0,450.0,True,70.13654208183289
169,blocksworld,1,1,1_27,1,448.0,True,63.15592098236084
170,blocksworld,1,1,1_27,2,448.0,True,67.13515901565552
171,blocksworld,1,1,1_28,0,430.0,True,60.07959723472595
172,blocksworld,1,1,1_28,1,436.0,True,62.08023524284363
173,blocksworld,1,1,1_28,2,440.0,True,55.61416006088257
174,blocksworld,1,1,1_29,0,456.0,True,69.70576572418213
175,blocksworld,1,1,1_29,1,458.0,True,70.9561619758606
176,blocksworld,1,1,1_29,2,460.0,True,72.62743663787842
177,blocksworld,1,1,1_30,0,516.0,True,98.19673728942871
178,blocksworld,1,1,1_30,1,520.0,True,94.70653986930847
179,blocksworld,1,1,1_30,2,520.0,True,97.87970232963562
180,blocksworld,1,1,2_01,0,532.0,True,95.02894163131714
181,blocksworld,1,1,2_01,1,522.0,True,89.57904362678528
182,blocksworld,1,1,2_01,2,526.0,True,106.48173761367798
183,blocksworld,1,1,2_02,0,556.0,True,115.48056387901306
184,blocksworld,1,1,2_02,1,564.0,True,110.94375610351562
185,blocksworld,1,1,2_02,2,552.0,True,121.6716902256012
186,blocksworld,1,1,2_03,0,602.0,True,149.90064215660095
