domain,problem,repeat,time,plan_length,plan_found
blocksworld,0_15,0,4.58085036277771,54.0,True
blocksworld,0_15,1,4.27093768119812,54.0,True
blocksworld,0_15,2,4.423131942749023,54.0,True
blocksworld,0_15,3,4.414129257202148,54.0,True
blocksworld,0_15,4,4.4162092208862305,48.0,True
blocksworld,0_15,5,4.448326826095581,54.0,True
blocksworld,0_15,6,4.493014812469482,48.0,True
blocksworld,0_15,7,4.543320178985596,48.0,True
blocksworld,0_15,8,4.020932674407959,48.0,True
blocksworld,0_15,9,4.3177831172943115,54.0,True
blocksworld,0_16,0,5.173702001571655,60.0,True
blocksworld,0_16,1,4.687835454940796,60.0,True
blocksworld,0_16,2,4.9401326179504395,60.0,True
blocksworld,0_16,3,5.002639532089233,60.0,True
blocksworld,0_16,4,5.196530103683472,60.0,True
blocksworld,0_16,5,5.1428375244140625,60.0,True
blocksworld,0_16,6,5.049379587173462,58.0,True
blocksworld,0_16,7,4.903141736984253,60.0,True
blocksworld,0_16,8,4.785507917404175,60.0,True
blocksworld,0_16,9,5.228400707244873,60.0,True
blocksworld,0_17,0,5.1401450634002686,60.0,True
blocksworld,0_17,1,5.1674370765686035,60.0,True
blocksworld,0_17,2,4.033564805984497,60.0,True
blocksworld,0_17,3,5.098997592926025,60.0,True
blocksworld,0_17,4,5.318960905075073,60.0,True
blocksworld,0_17,5,4.893324613571167,60.0,True
blocksworld,0_17,6,5.339538335800171,60.0,True
blocksworld,0_17,7,4.927465200424194,60.0,True
blocksworld,0_17,8,4.982113838195801,60.0,True
blocksworld,0_17,9,3.981229543685913,60.0,True
blocksworld,0_18,0,5.085616588592529,64.0,True
blocksworld,0_18,1,5.011657953262329,60.0,True
blocksworld,0_18,2,5.051554918289185,62.0,True
blocksworld,0_18,3,5.241929769515991,64.0,True
blocksworld,0_18,4,5.286159992218018,56.0,True
blocksworld,0_18,5,4.982667922973633,60.0,True
blocksworld,0_18,6,4.393261909484863,54.0,True
blocksworld,0_18,7,5.105046510696411,60.0,True
blocksworld,0_18,8,5.225099086761475,56.0,True
blocksworld,0_18,9,4.9072041511535645,64.0,True
blocksworld,0_19,0,5.51015830039978,62.0,True
blocksworld,0_19,1,4.473421812057495,62.0,True
blocksworld,0_19,2,5.206759929656982,62.0,True
blocksworld,0_19,3,5.174747943878174,62.0,True
blocksworld,0_19,4,4.876715183258057,58.0,True
blocksworld,0_19,5,4.935376405715942,62.0,True
blocksworld,0_19,6,5.54534387588501,60.0,True
blocksworld,0_19,7,5.130242586135864,60.0,True
blocksworld,0_19,8,5.152410507202148,60.0,True
