,domain,problem,time,plan_length,plan_found
275,transport,1_06,100.507512,36.0,True
276,transport,1_07,100.719303,43.0,True
277,transport,1_08,,,False
278,transport,1_09,,,False
279,transport,1_10,1043.136408,58.0,True
280,transport,1_11,102.672833,54.0,True
281,transport,1_12,1268.291324,61.0,True
282,transport,1_13,,,False
283,transport,1_14,,,False
284,transport,1_15,,,False
285,transport,1_16,,,False
286,transport,1_17,,,False
287,transport,1_18,,,False
288,transport,1_19,,,False
289,transport,1_20,,,False
290,transport,1_21,,,False
291,transport,1_22,,,False
292,transport,1_23,,,False
293,transport,1_24,,,False
294,transport,1_25,,,False
295,transport,1_26,,,False
296,transport,1_27,,,False
297,transport,1_28,,,False
298,transport,1_29,,,False
299,transport,1_30,,,False
