,domain,problem,time,plan_length,plan_found
204,satellite,0_25,0.011876,28.0,True
205,satellite,0_26,0.021306,52.0,True
206,satellite,0_27,0.033441,40.0,True
207,satellite,0_28,0.015855,36.0,True
208,satellite,0_29,0.013576,13.0,True
209,satellite,0_30,0.025651,33.0,True
210,satellite,1_01,0.059798,64.0,True
211,satellite,1_02,0.073602,77.0,True
212,satellite,1_03,0.044062,59.0,True
213,satellite,1_04,0.054169,77.0,True
214,satellite,1_05,0.124637,74.0,True
215,satellite,1_06,0.100226,63.0,True
216,satellite,1_07,0.099139,67.0,True
217,satellite,1_08,0.028568,13.0,True
218,satellite,1_09,0.129239,76.0,True
219,satellite,1_10,0.047284,23.0,True
220,satellite,1_11,0.186629,116.0,True
221,satellite,1_12,0.189466,80.0,True
222,satellite,1_13,1.308752,115.0,True
223,satellite,1_14,0.264466,99.0,True
224,satellite,1_15,0.067274,22.0,True
225,satellite,1_16,0.245847,113.0,True
226,satellite,1_17,0.19206,58.0,True
227,satellite,1_18,0.133792,37.0,True
228,satellite,1_19,0.853513,132.0,True
229,satellite,1_20,0.980964,170.0,True
230,satellite,1_21,0.698346,142.0,True
231,satellite,1_22,0.539187,125.0,True
232,satellite,1_23,0.334863,52.0,True
233,satellite,1_24,0.549635,184.0,True
234,satellite,1_25,0.475176,74.0,True
235,satellite,1_26,1.004044,175.0,True
236,satellite,1_27,0.762093,197.0,True
237,satellite,1_28,0.18602,31.0,True
238,satellite,1_29,1.213236,209.0,True
239,satellite,1_30,0.511749,78.0,True
240,transport,0_01,0.002494,3.0,True
241,transport,0_02,0.002559,4.0,True
242,transport,0_03,0.019693,7.0,True
243,transport,0_04,0.019742,11.0,True
244,transport,0_05,0.020313,13.0,True
245,transport,0_06,0.015196,13.0,True
246,transport,0_07,0.00604,18.0,True
247,transport,0_08,0.007824,16.0,True
248,transport,0_09,0.004178,24.0,True
249,transport,0_10,0.005045,26.0,True
250,transport,0_11,0.005437,27.0,True
251,transport,0_12,0.006252,29.0,True
252,transport,0_13,0.00593,36.0,True
253,transport,0_14,0.017554,36.0,True
254,transport,0_15,0.00681,34.0,True
255,transport,0_16,0.010138,45.0,True
256,transport,0_17,0.00837,35.0,True
257,transport,0_18,0.007198,40.0,True
258,transport,0_19,0.008403,50.0,True
259,transport,0_20,0.008645,53.0,True
260,transport,0_21,0.010567,47.0,True
261,transport,0_22,0.012814,45.0,True
262,transport,0_23,0.013852,51.0,True
263,transport,0_24,0.011672,64.0,True
264,transport,0_25,0.013214,60.0,True
265,transport,0_26,0.017742,59.0,True
266,transport,0_27,0.030917,90.0,True
267,transport,0_28,0.033157,60.0,True
268,transport,0_29,0.023549,63.0,True
269,transport,0_30,0.023504,62.0,True
270,transport,1_01,0.007085,34.0,True
271,transport,1_02,0.014176,34.0,True
272,transport,1_03,0.017892,34.0,True
273,transport,1_04,0.026818,40.0,True
274,transport,1_05,0.026746,54.0,True
275,transport,1_06,0.035698,48.0,True
276,transport,1_07,0.050738,56.0,True
277,transport,1_08,0.028524,70.0,True
278,transport,1_09,0.030137,117.0,True
279,transport,1_10,0.074584,71.0,True
280,transport,1_11,0.098508,70.0,True
281,transport,1_12,0.104915,81.0,True
282,transport,1_13,0.080722,109.0,True
283,transport,1_14,0.064085,93.0,True
284,transport,1_15,0.186222,111.0,True
285,transport,1_16,0.226759,188.0,True
286,transport,1_17,0.193505,149.0,True
287,transport,1_18,0.110339,131.0,True
288,transport,1_19,0.265096,117.0,True
289,transport,1_20,0.162955,156.0,True
290,transport,1_21,0.168731,178.0,True
291,transport,1_22,0.364096,177.0,True
292,transport,1_23,0.468826,171.0,True
293,transport,1_24,0.225768,172.0,True
294,transport,1_25,0.402859,286.0,True
295,transport,1_26,0.689306,170.0,True
296,transport,1_27,0.728856,179.0,True
297,transport,1_28,0.406769,263.0,True
298,transport,1_29,0.889372,175.0,True
299,transport,1_30,1.052139,192.0,True
